,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
 LCT1,26,0.0193,387660,2.871,9.0744,2.0249,0.0571,0.7159,36,0.0267,405.4396,699.8119,65.2705,0.9751,97.4482,58.22,99.1379,97.723,0.0228
 LCT2,61,0.0452,1458840,10.8043,20.3977,2.2717,0.0797,0.5025,71,0.0526,442.8693,257.2176,63.7525,0.9573,96.5736,80.8671,99.5812,96.7361,0.0326
 LCT3,30,0.0222,63900,0.4732,6.0511,1.3576,0.0499,0.3874,30,0.0222,23.232,6800.292,80.5704,0.9416,93.1237,72.4257,96.9024,94.1941,0.0581
 LCT4,22,0.0163,261300,1.9352,9.9657,2.0661,0.0394,0.9327,22,0.0163,194.8745,1563.4197,70.8645,0.9573,95.4289,51.436,98.2709,95.8686,0.0413
 LCT5,18,0.0133,83400,0.6177,6.2896,1.7276,0.0709,0.4272,18,0.0133,61.05,200.9227,61.4388,0.9513,94.3079,56.6553,98.1595,95.1692,0.0483
 LCT6,3,0.0022,51240,0.3795,3.007,1.7805,0.0106,0.9699,3,0.0022,592.26,15060.7908,87.2278,0.9855,97.8697,48.2954,98.9699,98.568,0.0143
 LCT7,39,0.0289,378000,2.7995,11.3309,1.8919,0.0653,0.5095,34,0.0252,174.1615,862.0791,60.6159,0.9606,95.9155,35.0888,98.8522,96.2625,0.0374
 LCT8,8,0.0059,156600,1.1598,6.1268,2.2698,0.0344,0.9559,8,0.0059,509.0625,4602.029,78.2462,0.975,97.116,53.2885,98.8928,97.5753,0.0242
 LCT9,21,0.0156,895500,6.6321,13.3977,2.7106,0.0682,0.7885,27,0.02,1212.2786,383.1532,67.2266,0.9719,97.5942,66.1205,99.6138,97.7697,0.0223
 LCT10,16,0.0118,435960,3.2288,11.0426,2.7864,0.0472,0.9507,24,0.0178,550.53,1094.0772,68.2447,0.9669,96.6358,53.283,99.0864,96.9311,0.0307
 LCT11,26,0.0193,293700,2.1752,12.1766,2.4352,0.0856,0.5351,34,0.0252,127.5646,1841.8939,69.4934,0.9424,93.923,54.2716,98.7028,94.3941,0.0561
 LCT12,4,0.003,268200,1.9863,9.4503,4.9815,0.0101,0.9214,16,0.0118,1100.3625,481.2085,73.7068,0.9627,95.9965,49.9312,99.432,96.4049,0.036
 LCT13,10,0.0074,160020,1.1851,5.3127,1.8456,0.0395,0.8632,10,0.0074,565.947,3559.7316,81.7895,0.982,97.8794,69.6358,99.0909,98.2717,0.0173
 LCT14,7,0.0052,255360,1.8912,9.9207,3.5498,0.0543,0.9383,7,0.0052,575.1129,2914.7294,79.5789,0.9568,95.3667,73.2197,99.0956,95.8141,0.0419
 LCT15,10,0.0074,203940,1.5104,5.4911,1.7021,0.0294,0.9693,10,0.0074,838.449,820.2676,77.6583,0.9844,98.2245,67.2809,99.3848,98.5431,0.0146
 LCT16,10,0.0074,170400,1.262,6.6824,2.0283,0.0533,0.8628,10,0.0074,394.695,1511.9214,77.6018,0.9723,96.8535,52.8041,98.9671,97.3117,0.0269
 LCT17,14,0.0104,16620,0.1231,3.0778,1.2629,0.0558,0.2981,14,0.0104,12.9729,455.4193,59.0217,0.9525,93.1368,64.5362,95.9401,95.261,0.0474
 LCT18,18,0.0133,92520,0.6852,5.4296,1.4541,0.0495,0.4581,18,0.0133,98.845,17641.0324,80.6949,0.968,96.1623,77.2547,98.4973,96.8468,0.0315
 LCT19,13,0.0096,52740,0.3906,7.6435,2.2489,0.0747,0.5071,13,0.0096,22.8877,2069.7615,70.7281,0.8821,86.706,76.6356,95.7603,88.2407,0.1176
 LCT20,9,0.0067,67380,0.499,4.7991,1.9908,0.0738,0.5824,9,0.0067,132.82,163.3838,77.3063,0.9668,95.8822,43.9276,98.4443,96.712,0.0329
 LCT21,1,0.0007,19500,0.1444,2.1104,2.1104,0,0.9678,1,0.0007,528.93,0,81.2462,0.9852,97.235,25.4938,98.7762,98.5259,0.0147
