,Altitude,Geology,Historic,Landcover,Landform,Soilscape,Vegetation
 LCT1 ,0.194009536,0.298958563,0.206866167,0.194400544,0.217568572,0.222758958,0.263270035
 LCT2 ,0.190776047,0.154217343,0.08372342,0.1665227,0.177403666,0.229515289,0.145849237
 LCT3 ,0.153560086,0.289331029,0.159512103,0.157202023,0.226383959,0.320112229,0.162906415
 LCT4 ,0.21947255,0.214943119,0.149357792,0.276249542,0.213804428,0.334315078,0.222750109
 LCT5 ,0.108955037,0.27540211,0.09984335,0.173504083,0.236722443,0.319932136,0.145686974
 LCT6 ,0.233391302,0.164005047,0.170498126,0.153648331,0.217657136,0.193133559,0.138953629
 LCT7 ,0.278786657,0.256253976,0.136995843,0.256017206,0.136284017,0.252953094,0.201530257
 LCT8 ,0.230689185,0.172046505,0.116783394,0.197285266,0.171543329,0.321235756,0.191152717
 LCT9 ,0.228630707,0.304291691,0.249618709,0.227480716,0.217769826,0.227382623,0.151331406
 LCT10 ,0.16438826,0.129400713,0.105783715,0.166202688,0.143681044,0.204873088,0.107217588
 LCT11 ,0.164303074,0.284085277,0.152233738,0.277020113,0.212556018,0.31500496,0.216640832
 LCT12 ,0.208992823,0.303693925,0.23973892,0.263599082,0.24259923,0.257852359,0.227169418
 LCT13 ,0.158869443,0.210414934,0.187739699,0.168196314,0.171084841,0.322141495,0.137315331
 LCT14 ,0.262134507,0.214594191,0.174799886,0.218438942,0.168788912,0.262772036,0.185556445
 LCT15 ,0.221165097,0.17628071,0.131144958,0.136394561,0.131295266,0.15003809,0.149576903
 LCT16 ,0.199923735,0.159571266,0.16023377,0.22535929,0.154694616,0.28279018,0.252319242
